id,name,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,availability_30,days_occupied,rpp,re_neighborhood,re_home_price,noi
241032,Stylish Queen Anne Apartment,Queen Anne,Apartment,Entire home/apt,1.0,85,14,16,1360,Queen Anne/Magnolia,546229,-1640.48
953595,Bright & Airy Queen Anne Apartment,Queen Anne,Apartment,Entire home/apt,1.0,150,13,17,2550,Queen Anne/Magnolia,546229,-569.48
3308979,New Modern House-Amazing water view,Queen Anne,House,Entire home/apt,5.0,975,1,29,28275,Queen Anne/Magnolia,1259599,18842.03
278830,Charming craftsman 3 bdm house,Queen Anne,House,Entire home/apt,3.0,450,30,0,0,Queen Anne/Magnolia,895000,-4693.48
2493658,Airy + Bright Queen Anne Apartment,Queen Anne,Apartment,Entire home/apt,1.0,150,6,24,3600,Queen Anne/Magnolia,546229,375.52
175576,Private Apartment - Queen Anne Hill,Queen Anne,House,Entire home/apt,1.0,95,0,30,2850,Queen Anne/Magnolia,546229,-299.48
4454295,Upper Queen Anne Craftsman House,Queen Anne,House,Entire home/apt,1.0,99,21,9,891,Queen Anne/Magnolia,546229,-2062.58
3883392,Open Plan 2bdr/1bath in Queen Anne,Queen Anne,Apartment,Entire home/apt,2.0,245,30,0,0,Queen Anne/Magnolia,724370,-3798.68
8889257,Elegance in Historic Queen Anne,Queen Anne,House,Entire home/apt,2.0,165,13,17,2805,Queen Anne/Magnolia,724370,-1274.18
5680462,Stunning 6 bd in THE BEST Location!,Queen Anne,House,Entire home/apt,6.0,461,19,11,5071,Queen Anne/Magnolia,1259599,-2041.57
8988178,"Lovely Queen Anne Cottage, 2 BR",Queen Anne,House,Entire home/apt,2.0,109,30,0,0,Queen Anne/Magnolia,724370,-3798.68
6291829,Grand Craftsman Home on Queen Anne,Queen Anne,House,Entire home/apt,5.0,700,24,6,4200,Queen Anne/Magnolia,1259599,-2825.47
9218403,Queen Anne View One Bedroom,Queen Anne,Condominium,Entire home/apt,1.0,110,29,1,110,Queen Anne/Magnolia,546229,-2765.48
8942678,Lovely Queen Anne home,Queen Anne,House,Entire home/apt,4.0,450,0,30,13500,Queen Anne/Magnolia,1128810,6230.4
6362362,Charming home on Queen Anne,Queen Anne,House,Entire home/apt,3.0,600,0,30,18000,Queen Anne/Magnolia,895000,11506.52
3544550,VIEW-Monthly Rental Available,Queen Anne,House,Entire home/apt,3.0,450,0,30,13500,Queen Anne/Magnolia,895000,7456.52
9025039,Cute Bungalow-Close to Everything!,Queen Anne,House,Entire home/apt,2.0,150,0,30,4500,Queen Anne/Magnolia,724370,251.32
8859380,STUNNING VIEW of Puget Sound,Queen Anne,Apartment,Entire home/apt,3.0,300,24,6,1800,Queen Anne/Magnolia,895000,-3073.48
4520099,Open Airy Queen Anne Condo,Queen Anne,Apartment,Entire home/apt,1.0,80,0,30,2400,Queen Anne/Magnolia,546229,-704.48
2481869,Airy + Bright Queen Anne Cottage,Queen Anne,Apartment,Entire home/apt,1.0,175,19,11,1925,Queen Anne/Magnolia,546229,-1131.98
1110749,Queen Anne 3 bed near everything,Queen Anne,House,Entire home/apt,3.0,325,23,7,2275,Queen Anne/Magnolia,895000,-2645.98
5978498,1914 Stunner View Ocean Mountain,Queen Anne,House,Entire home/apt,3.0,175,0,30,5250,Queen Anne/Magnolia,895000,31.52
5021081,Seattle Queen Anne Beauty,Queen Anne,House,Entire home/apt,4.0,222,0,30,6660,Queen Anne/Magnolia,1128810,74.4
1686930,The Hideaway- Queen Anne/downtown,Queen Anne,Apartment,Entire home/apt,2.0,159,11,19,3021,Queen Anne/Magnolia,724370,-1079.78
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,Queen Anne,Apartment,Entire home/apt,1.0,125,30,0,0,Queen Anne/Magnolia,546229,-2864.48
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",Queen Anne,House,Entire home/apt,3.0,348,0,30,10440,Queen Anne/Magnolia,895000,4702.52
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,Queen Anne,Apartment,Entire home/apt,1.0,150,16,14,2100,Queen Anne/Magnolia,546229,-974.48
4218733,Walker's Dream on Queen Anne Hill,Queen Anne,Apartment,Entire home/apt,1.0,110,19,11,1210,Queen Anne/Magnolia,546229,-1775.48
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",Queen Anne,House,Entire home/apt,1.0,148,0,30,4440,Queen Anne/Magnolia,546229,1131.52
1392332,Modern Eco-Friendly View Retreat,Queen Anne,House,Entire home/apt,2.0,350,0,30,10500,Queen Anne/Magnolia,724370,5651.32
7308567,Beautiful 1 Bedrm in Queen Anne,Queen Anne,Apartment,Entire home/apt,1.0,150,8,22,3300,Queen Anne/Magnolia,546229,105.52
5383192,Craftsman House Near Everything,Queen Anne,House,Entire home/apt,1.0,160,0,30,4800,Queen Anne/Magnolia,546229,1455.52
1112092,Seattle Backyard Cottage-Queen Anne,Queen Anne,House,Entire home/apt,1.0,130,30,0,0,Queen Anne/Magnolia,546229,-2864.48
7714294,Top Floor Apt. W/ Spectacular View!,Queen Anne,Apartment,Entire home/apt,1.0,137,0,30,4110,Queen Anne/Magnolia,546229,834.52
6361863,Located in the heart of Queen Anne,Queen Anne,Apartment,Entire home/apt,1.0,145,15,15,2175,Queen Anne/Magnolia,546229,-906.98
4566393,Beautiful West Queen Anne Craftsman,Queen Anne,House,Entire home/apt,3.0,400,30,0,0,Queen Anne/Magnolia,895000,-4693.48
8988281,Cozy 2 BR/1 BA Queen Anne Home,Queen Anne,House,Entire home/apt,2.0,175,30,0,0,Queen Anne/Magnolia,724370,-3798.68
7077910,"Modern Townhouse, Heart of Ballard!",Ballard,House,Entire home/apt,3.0,170,23,7,1190,Ballard/Greenlake,760000,-2914.52
3772674,Cozy Ballard Apartment,Ballard,Apartment,Entire home/apt,1.0,85,20,10,850,Ballard/Greenlake,463837,-1667.41
7021906,Plum Modern - 5 bdrm Tranquility,Ballard,House,Entire home/apt,5.0,465,3,27,12555,Ballard/Greenlake,1069604,5690.38
7618605,1BR-Ultra Hip Ballard-Walk to Bars!,Ballard,Apartment,Entire home/apt,1.0,175,0,30,5250,Ballard/Greenlake,463837,2292.59
1148517,Cute Cottage in Sunny Ballard,Ballard,House,Entire home/apt,2.0,145,29,1,145,Ballard/Greenlake,615107,-3095.19
2686374,Bunkhouse Topbunk/Airstream Retreat,Ballard,House,Entire home/apt,3.0,149,27,3,447,Ballard/Greenlake,760000,-3583.22
1956274,Sweet Ballard Apartment for Two,Ballard,Apartment,Entire home/apt,1.0,125,27,3,375,Ballard/Greenlake,463837,-2094.91
5919096,Ballard Victorian 900 sq ft apt,Ballard,Apartment,Entire home/apt,1.0,129,16,14,1806,Ballard/Greenlake,463837,-807.01
6516529,"One-bedroom Apartment, Ballard",Ballard,Apartment,Entire home/apt,1.0,100,0,30,3000,Ballard/Greenlake,463837,267.59
3294243,Beautiful Ballard condo with view!,Ballard,Apartment,Entire home/apt,2.0,150,0,30,4500,Ballard/Greenlake,615107,824.31
3584790,2 Bedrm Apt in the heart of Ballard,Ballard,Apartment,Entire home/apt,2.0,99,0,30,2970,Ballard/Greenlake,615107,-552.69
1266459,Pretty Condo in Downtown Ballard,Ballard,Apartment,Entire home/apt,1.0,150,4,26,3900,Ballard/Greenlake,463837,1077.59
408526,Chic 3 bed 4 bath Ballard townhome,Ballard,House,Entire home/apt,3.0,218,30,0,0,Ballard/Greenlake,760000,-3985.52
4118282,"Private, clean, spacious Townhome",Ballard,House,Entire home/apt,2.0,80,13,17,1360,Ballard/Greenlake,615107,-2001.69
6813483,Victorian Charm in Heart of Ballard,Ballard,Apartment,Entire home/apt,1.0,126,28,2,252,Ballard/Greenlake,463837,-2205.61
6590264,Modern Ballard Apt 4 Tech Travlers,Ballard,Apartment,Entire home/apt,1.0,115,30,0,0,Ballard/Greenlake,463837,-2432.41
2650482,Modern family home in Old Ballard,Ballard,Apartment,Entire home/apt,2.0,225,30,0,0,Ballard/Greenlake,615107,-3225.69
20927,Cottage in the Heart of Ballard,Ballard,Cabin,Entire home/apt,1.0,89,10,20,1780,Ballard/Greenlake,463837,-830.41
4395578,Ballard Townhome - Pet Friendly!,Ballard,House,Entire home/apt,3.0,225,21,9,2025,Ballard/Greenlake,760000,-2163.02
5549211,Plum Apartment,Ballard,Apartment,Entire home/apt,1.0,134,5,25,3350,Ballard/Greenlake,463837,582.59
8240758,Spacious Ballard Apt: Walk to All!,Ballard,Apartment,Entire home/apt,1.0,75,0,30,2250,Ballard/Greenlake,463837,-407.41
6881188,Ballard Townhouse Near The Locks,Ballard,House,Entire home/apt,3.0,375,28,2,750,Ballard/Greenlake,760000,-3310.52
1579615,"Ballard, Seattle Cozy Studio Apt.",Ballard,House,Entire home/apt,1.0,97,21,9,873,Ballard/Greenlake,463837,-1646.71
3766866,Condo in Hip Ballard WALK,Ballard,Condominium,Entire home/apt,1.0,145,29,1,145,Ballard/Greenlake,463837,-2301.91
2406966,Renovated 2 bedroom in old Ballard,Ballard,Apartment,Entire home/apt,2.0,129,12,18,2322,Ballard/Greenlake,615107,-1135.89
4872699,Large Home in Historical Ballard,Ballard,House,Entire home/apt,3.0,197,30,0,0,Ballard/Greenlake,760000,-3985.52
5470629, Ballard Garden Apartment,Ballard,Apartment,Entire home/apt,1.0,120,0,30,3600,Ballard/Greenlake,463837,807.59
2950213,Entire artist's  apt in hip hood,Ballard,Apartment,Entire home/apt,1.0,200,29,1,200,Ballard/Greenlake,463837,-2252.41
9015088,Spacious condo with gorgeous views,Ballard,Apartment,Entire home/apt,2.0,135,19,11,1485,Ballard/Greenlake,615107,-1889.19
7501919,Apartment in Downtown Ballard,Ballard,Apartment,Entire home/apt,1.0,150,22,8,1200,Ballard/Greenlake,463837,-1352.41
4732995,Urban Oasis in the Heart of Ballard,Ballard,Apartment,Entire home/apt,1.0,200,30,0,0,Ballard/Greenlake,463837,-2432.41
4532538,Classic old Ballard home,Ballard,House,Entire home/apt,3.0,180,30,0,0,Ballard/Greenlake,760000,-3985.52
6337492,Nice 1 bedroom apartment in Ballard,Ballard,Apartment,Entire home/apt,1.0,80,0,30,2400,Ballard/Greenlake,463837,-272.41
1609922,Cute Cozy Townhome in Old Ballard,Ballard,House,Entire home/apt,2.0,150,0,30,4500,Ballard/Greenlake,615107,824.31
4236723,Ballard Bunkhouse - Bottom Bunk,Ballard,House,Entire home/apt,2.0,195,30,0,0,Ballard/Greenlake,615107,-3225.69
