Nieghborhood,MedianPrice2019,One_Bed,Two_Bed,Three_Bed,Four_Bed,Five_or_more_Bed
Auburn,389000,237411,297369,389000,490623,547469
Ballard/Greenlake,732500,447053,559956,732500,923859,1030902
Bellevue–East of 405,822990,502280,629130,822990,1037989,1158255
Bellevue–West of 405,1523000,929505,1164249,1523000,1920870,2143431
Belltown/Downtown,640000,390600,489244,640000,807194,900719
Black Diamond/Maple Valley,489000,298442,373813,489000,616747,688206
Burien/Normandy Park,450000,274640,344000,450000,567558,633318
Central Seattle,757000,462006,578684,757000,954759,1065382
Dash Point/Federal Way,396000,241683,302720,396000,499451,557320
Des Moines/Redondo,383500,234055,293164,383500,483686,539728
East of Lake Sammamish,826000,504118,631431,826000,1041785,1162491
East Side–South of I-90,832000,507779,636018,832000,1049353,1170935
Enumclaw,424900,259321,324812,424900,535901,597993
Jovita/West Hill,431375,263273,329762,431375,544068,607106
Juanita/Woodinville,700000,427218,535111,700000,882869,985162
Kent,430000,262434,328711,430000,542334,605171
Kirkland/Bridle Trails,1000000,610312,764444,1000000,1261241,1407374
Lake Forest Park,609500,371985,465929,609500,768726,857795
Mercer Island,1506200,919252,1151406,1506200,1899681,2119787
North Seattle,740000,451631,565689,740000,933318,1041457
Queen Anne/Magnolia,833500,508695,637164,833500,1051244,1173046
Redmond/Carnation,798000,487029,610027,798000,1006470,1123085
Renton-Benson Hill,485000,296001,370756,485000,611702,682576
Renton-Highlands,560000,341775,428089,560000,706295,788129
Richmond Beach/Shoreline,610000,372290,466311,610000,769357,858498
Skyway Area,461000,281354,352409,461000,581432,648799
SODO/Beacon Hill,598500,365272,457520,598500,754853,842313
Southeast Seattle,627500,382971,479689,627500,791429,883127
Vashon Island,621750,379461,475293,621750,784177,875035
West Seattle,629250,384039,481027,629250,793636,885590
